LANGUE;MODULE;FONCT;NUMERO;GRAVITES;GRAVITEP;LIBS;LIBP
"F";"HR";"ANO";"0158";"9";"9";"Solde RTT en jours insuffisant pour transfert en CET";"Solde RTT en jours insuffisant pour transfert en CET"
"F";"HR";"ANO";"0170";"5";"5";"Visite médicale à prévoir";"Visite médicale à prévoir"
"F";"HR";"ANO";"0178";"8";"8";"Le nombre de CP samedi à prendre n'est pas respecté";"Le nombre de CP samedi à prendre n'est pas respecté"
"F";"HR";"ANO";"0201";"5";"5";"Dépassement convention de forfait";"Dépassement convention de forfait"
"F";"HR";"ANO";"0215";"7";"7";"Solde mensuel délégation CSE négatif";"Solde mensuel délégation CSE négatif"
"F";"HR";"ANO";"0223";"5";"5";"Pas de retour sur une sortie pause";"Pas de retour sur une sortie pause"
"F";"HR";"ANO";"0118";"8";"8";"Badgeages pour employé présumé absent";"Badgeages pour employé présumé absent"
"F";"HR";"ANO";"0124";"9";"9";"Incohérence dans la saisie des absences";"Incohérence dans la saisie des absences"
"F";"HR";"ANO";"0133";"5";"5";"l'amplitude journalière est supérieure au maximum";"l'amplitude journalière est supérieure au maximum"
"F";"HR";"ANO";"0139";"5";"5";"Crédit du temps de pause forfaitaire première plage";"Crédit du temps de pause forfaitaire première plage"
"F";"HR";"ANO";"0152";"5";"5";"Absence de badgeage en pause seconde plage";"Absence de badgeage en pause seconde plage"
"F";"HR";"ANO";"0161";"5";"5";"Au-delà de 6 heures de travail minimum, une pause est obligatoire";"Au-delà de 6 heures de travail minimum, une pause est obligatoire"
"F";"HR";"ANO";"0171";"8";"8";"Dépassement de l'horaire hebdomadaire temps plein";"Dépassement de l'horaire hebdomadaire temps plein"
"F";"HR";"ANO";"0174";"5";"5";"Temps analytique imputé inférieur au temps à ventiler";"Temps analytique imputé inférieur au temps à ventiler"
"F";"HR";"ANO";"0230";"9";"9";"Saisie consigne CP incohérente calcul impossible";"Saisie consigne CP incohérente calcul impossible"
"F";"HR";"ANO";"0193";"9";"9";"Droit enfant malade supérieur au maximum";"Droit enfant malade supérieur au maximum"
"F";"HR";"ANO";"0202";"5";"5";"Solde RFJ négatif";"Solde RFJ négatif"
"F";"HR";"ANO";"0204";"5";"5";"Dépassement seuil maximal quotidien nombre de jours de travail effectif FJ";"Dépassement seuil maximal quotidien nombre de jours de travail effectif FJ"
"F";"HR";"ANO";"0214";"8";"8";"Solde délégation DFS insuffisant";"Solde délégation DFS insuffisant"
"F";"HR";"ANO";"0222";"5";"5";"Vérifier le paramétrage du profil dynamique (7 plages obligatoires maximum)";"Vérifier le paramétrage du profil dynamique (7 plages obligatoires maximum)"
"F";"HR";"ANO";"0227";"9";"9";"Anomalie de saisie Forfait jour";"Anomalie de saisie Forfait jour"
"F";"HR";"ANO";"0112";"5";"5";"Limitation du crédit/débit à sa valeur maximum";"Limitation du crédit/débit à sa valeur maximum"
"F";"HR";"ANO";"0110";"5";"5";"Heures excédentaires en entrée";"Heures excédentaires en entrée"
"F";"HR";"ANO";"0117";"6";"6";"Présence inférieure au minimum";"Présence inférieure au minimum"
"F";"HR";"ANO";"0140";"5";"5";"Retrait du complément de temps de pause première plage";"Retrait du complément de temps de pause première plage"
"F";"HR";"ANO";"0159";"8";"8";"Plus de 6 jours consécutifs de travail dans la semaine";"Plus de 6 jours consécutifs de travail dans la semaine"
"F";"HR";"ANO";"0172";"8";"8";"Maladie sur Congé : congé reporté dans les reliquats";"Maladie sur Congé : congé reporté dans les reliquats"
"F";"HR";"ANO";"0187";"9";"9";"Don congés supérieur au maximum";"Don congés supérieur au maximum"
"F";"HR";"ANO";"0240";" ";" ";" ";" "
"F";"HR";"ANO";"0241";" ";" ";" ";" "
"F";"HR";"ANO";"0242";" ";" ";" ";" "
"F";"HR";"ANO";"0243";" ";" ";" ";" "
"F";"HR";"ANO";"0244";" ";" ";" ";" "
"F";"HR";"ANO";"0245";" ";" ";" ";" "
"F";"HR";"ANO";"0246";" ";" ";" ";" "
"F";"HR";"ANO";"0247";" ";" ";" ";" "
"F";"HR";"ANO";"0248";" ";" ";" ";" "
