ECRAN;ONGLET;DONNEE;LIBELLE;DOMAINE
JOU;Options employé;SJIGRCI;Droit au RCI;HJOU
JOU;Horoquartz;SJRDRDA;Droit RD en cours acquis.;HJOU
CFG;Congés payés;SDIDCPMA;MA : Droit CP par Défaut;PARD
SEH;Données personnalisées;IJIGRETETR;Droit au RTT;HJOU
CFG;Seuils et dates de référence;IDIHSTAUX1;HS taux 1 (%);PARD
JOU;Horoquartz;SJRFDECLNF;Flag déclaration non validé/faite;HJOU
EMP;Compteurs Prévisionnels;SEQSPRD;Solde prév. RD;EMPL
CFG;Congés payés;SDIDCPVHJ;VH : Droit CP pour Journaliste;PARD
ACT;Données personnalisées;IMIGTICKRE;Maintien ticket restaurant;MOTI
JOU;Horoquartz;SJRACQCPMP;CP en cours d'acquisition mensuel 10°;HJOU
JOU;Congés reportés;SJRDAFREP4;Date fin de report CP période 4;HJOU
JOU;Congés reportés;SJRDPREP1;Droit CP reporté période 1;HJOU
CFG;Seuils et dates de référence;SDISAPFIRC;RC : Seuil nb abs. abat. droit PFI;PARD
CFG;Seuils et dates de référence;SDIHBONIF;Heures de bonification (JL);PARD
JOU;Prépaie;SJQPRNUIRC;RC : Prime de nuit journalistes (5093);HJOU
JOU;Congés;IJRSACQCP;Solde CP en cours acquis.;HJOU
JOU;Horoquartz;SJRACQSUPI;Acquis. C. supplémen. Fabric. au 01/01/N;HJOU
JOU;Heures supplémentaires;SJQTHSHC;Totales HS sur la semaine/cycle;HJOU
EMP;Hiérarchie;SEIROLSC;Sélection du rôle;EMPL
EMP;Compteurs Prévisionnels;SEQCRCI;Pris prév. RCI;EMPL
JOU;Horoquartz;SJRNABSABC;Nbres abs. abat acquis de CP sur année;HJOU
CFG;Gestion forfaits jours;SDIABAJR;Nbres jours RTT à réduire FJ;PARD
JOU;Prépaie;SJQNTR0407;MO : Nb Nuit trav. agent maitrise (0407);HJOU
CFG;Définition des motifs;SDIVMHSUP;Déclaration HS à payer;PARD
JOU;Compteurs annuels;IJRNDIMTRA;Nbre de dimanche travaillés annuel;HJOU
JOU;Horoquartz;SJRNABSABR;Nbres absences abat RTT sur mois;HJOU
JOU;RTT/Autres Récup;IJRACRTTJM;RTT acquis mensuel (J);HJOU
CFG;Gestion forfaits jours;SDIRTFJPCA;PC : RTT annuel pour FJ - Agent maitrise;PARD
DIJ;Compteurs détail PLC;IJRSGCONGE;Solde global des congés;HJOU
JOU;Horoquartz;SJRDATANCC;Date ancienneté suite chgt.;HJOU
JOU;Plages;IJQPLGMAT;Durée des plages matin;HJOU
JOU;Horoquartz;SJQMJFV;Motif JF sur la veille ?;HJOU
JOU;Délégations;IJRMDCSE1;Droit mensuel M-1 (H);HJOU
CFG;Seuils et dates de référence;IDISMXT12S;Moyenne max. légale sur 12 semaines;PARD
EMP;Compteurs Prévisionnels;SEQSPPFI;Solde prév. PFI;EMPL
JOU;Congés;SJRNCPTP;CP pris sur repos TP;HJOU
JOU;Horoquartz;IJRNBTRAVS;Nombre de jours travaillés consécutif;HJOU
CFG;Données globales;IGIREFRTT;Date de référence RTT (JJMM);CONF
JOU;Interface paie ADP;IJRTTEPMOD;Heures effectives annuelles - D140;HJOU
JOU;Compteurs journaliers;SJQHTSOR4;Horaire sortie 4;HJOU
CFG;Définition des motifs;SDIVMCCIJP;Motif délégation CCIJP;PARD
CFG;Seuils et dates de référence;IDISMXTHEB;Total maximum hebdomadaire légal;PARD
EMP;Compteurs Prévisionnels;SEQSPJFF;Solde prév. JFF;EMPL
CFG;Gestion forfaits jours;SDICFJES;ES : Cible FJ annuel;PARD
JOU;RTT/Autres Récup;SJRCPFI;Pris Journée PFI;HJOU
EMP;Acquisition de droit au forfait;SEQDRJFN2;Droit RJF N-2;EMPL
EMP;Compteurs Prévisionnels;SEQCCP;Pris prév. CP;EMPL
EMP;Acquisition de droit au forfait;DATTRAI;Date de traitement;EMPL
JOU;Congés reportés;SJRDATCRE;Date de 1° jour d'arrêt;HJOU
CFG;Congés payés;SDIDCPEC;EC : Droit CP par Défaut;PARD
ABS;Soldes;IEQSPGCONG;Solde prévisionnel des congés;EMPL
EMP;Protecsys;IEIPRTNIV1;Protecsys niveau 1;EMPL
EMP;Acquisition de droit au forfait;SEIDATFCN4;Date fin ACQ N-4;EMPL
JOU;Suivis des forfaits jours;SJRJTRAVT;Nbre jours travaillés théoriques annuel;HJOU
CFG;Seuils et dates de référence;IDISENFMA1;Seuil 1 âge enfant malade;PARD
HOR;Données générales;SHIACRTTA;Droit RTT annuel;HORC
JOU;Prépaie;SJQHNUIP25;EV : Majo hrs nuit à 25% (5404);HJOU
JOU;Options employé;SJIINTEVA;A envoyer à TEVA;HJOU
CFG;Seuils et dates de référence;IDISCONTHS;Contingent HS;PARD
CTR;Données du contrat;SCIBONIF;Droit à la Bonification;CTRA
CFG;Congés payés;SDIDCPYRJ;YR : Droit CP pour Journaliste;PARD
JOU;Congés;SJRCDONABS;Pris jours d'absences sur don;HJOU
JOU;Interface paie ADP;SJQTTESTG;Heures effectives stagiaires pour paie;HJOU
EMP;Compteurs Prévisionnels;IEQSPRJCET;Solde prév. CET;EMPL
JOU;Prépaie;SJQP0412;MO : Supplément Lynx (0412);HJOU
CFG;Seuils et dates de référence;SDISAPFIMO;MO : Seuil nb abs. abat. droit PFI;PARD
CFG;Seuils et dates de référence;SDIFPERCO1;Fin période alimentation N°1 PERCO;PARD
JOU;Congés;SJRDDONABS;Droit jours d'absences sur don;HJOU
CFG;Seuils et dates de référence;IDIVOBJTHA;Théorie annuelle;PARD
HOR;Données générales;PRIOHOR;Param RTT - Priorité HOR;HORC
EMP;Acquisition de droit au forfait;SEIDATFCN9;Date fin ACQ N+1;EMPL
EMP;Acquisition de droit au forfait;SEIDATACQ5;Date ACQ N-5;EMPL
CFG;Définition des motifs;IDIVMDONCP;Absence sur don;PARD
CFG;Définition des motifs;IDIVMCOFRA;Congé fractionnement;PARD
JOU;Horoquartz;SJRACQDHM;Acquisitoin DH mois (cumul);HJOU
JOU;Heures supplémentaires;IJRBHPAYEE;Base des heures payées;HJOU
HOR;Données générales;SHISEUILAB;Seuil d'absences pour abattement RTT;HORC
JOU;Compteurs journaliers;IJQTTEFFEJ;Heures effectives;HJOU
JOU;Interface paie ADP;SJRI005;Pris CP1 pour paie - I005;HJOU
SEH;Données personnalisées;IJIACOPRIN;Gestion acquis congé payé;HJOU
JOU;Prépaie;IJQHDIMTRA;Heures de dimanche (informatif);HJOU
JOU;Droits délégations;SJIDRSCE;Droit mensuel délégation RSCE;HJOU
CTR;Données du contrat;SCINUMCTR;N° de contrat (CrossTalent);CTRA
JOU;Congés;IJRCCOANCI;Pris C. ancienneté;HJOU
CFG;Gestion forfaits jours;SDIRTFJPC;PC : RTT annuel pour FJ;PARD
JOU;Congés;SJRDCSUP;Droit C. supplémentaire;HJOU
JOU;Compteurs annuels;SJRTTA;Jour en télétravail annuel;HJOU
JOU;Compteurs journaliers;IJQNTICKRE;Ticket Restaurant;HJOU
CFG;Gestion forfaits jours;SDICFJVH;VH : Cible FJ annuel;PARD
JOU;Droits délégations;IJIDACSET;Droit annuel théorique CSE (H);HJOU
CFG;Définition des motifs;SDIVMJTR;Motif J. Trimestrielle;PARD
JOU;RTT/Autres Récup;SJRSJTR;Solde J. Trimestrielle;HJOU
JOU;Options employé;SJIREFTR;Refus de ticket restaurant;HJOU
EMP;Hiérarchie;SEIMATN1S;Matricule Manager select (interface);EMPL
CFG;Congés payés;SDIDCPZP;ZP : Droit CP par Défaut;PARD
JOU;Horoquartz;SJRNABSDH;Nbres absences abat DH sur année;HJOU
JOU;Horoquartz;SJRACQCPM;CP en cours d'acquisition mensuel;HJOU
JOU;Heures supplémentaires;IJRSHSMREH;Récupération HS/HC;HJOU
CFG;Gestion forfaits jours;SDICFJHE;HE : Cible FJ annuel;PARD
JOU;Prépaie;SJQHSP125;Diffus. : HS payées à 125% (7085);HJOU
JOU;Congés;IJRSCOPRIN;Solde CP acquis;HJOU
CFG;Seuils et dates de référence;SDICPCETMO;MO : CP maximum alimentant le CET/an;PARD
JOU;Délégations;IJRMDCSE7;Droit mensuel M-7 (H);HJOU
EMP;Compteurs Prévisionnels;SEQCREP;Pris prév. REP;EMPL
JOU;RTT/Autres Récup;SJRSRD;Solde récup. dimanche;HJOU
EMP;Compteurs Prévisionnels;IEQSPRTTJO;Solde prév. RTT;EMPL
CFG;Gestion forfaits jours;SDIRTFJVH;VH : RTT annuel pour FJ;PARD
JOU;Gestion du CET;IJRSOLDCET;Solde CET;HJOU
JOU;Options employé;SJQROTATMO;Rotative MO (0: Non /1: Oui);HJOU
JOU;Prépaie;SJRHDIF100;EV/PE : Cumul majo. hrs diman/Férié;HJOU
CFG;Paramètres généraux;IDIGRAZCPT;Raz des compteurs en début de contrat;PARD
ACT;Données personnalisées;IMIGDURABS;Gestion de la durée du motif;MOTI
EMP;Compteurs Prévisionnels;SEQSPRJF;Solde prév. RJF;EMPL
CFG;Définition des motifs;SDIVMCPR1;CP reporté période 1;PARD
HOR;Données générales;SHIGHSUPPM;Régime HS / HC;HORC
CFG;Seuils et dates de référence;SDIFPERCO2;Fin période alimentation N°2 PERCO;PARD
JOU;Plages;IJQPLGTOTJ;Durée totale des plages;HJOU
CFG;Congés payés;SDIDCPVHCA;VH : Droit CP pour Cadre et AM;PARD
EMP;Hiérarchie;SEIROLSR;Blocage sélection dans le rôle ?;EMPL
JOU;Horoquartz;SJRNABCONS;Nbres abs. abat. acqui. CP consécutif(J);HJOU
JOU;Prépaie;SJQPDI5411;MO : Prime dimanche - CDD expé (5411);HJOU
ACT;Données personnalisées;IMIGTTEFFE;Participe au travail effectif;MOTI
EMP;Compteurs Prévisionnels;IEQSPDISP4;DSI :  Solde prév. récup sur WE;EMPL
